Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/09  09:00:00,1842.367712
 01/09  09:15:00,1848.667944
 01/09  09:30:00,1851.368043
 01/09  09:45:00,182.9767248
 01/09  10:00:00,0
 01/09  10:15:00,1484.154546
 01/09  10:30:00,1845.967844
 01/09  10:45:00,1861.268406
 01/09  11:00:00,1854.068142
 01/09  11:15:00,1856.768242
 01/09  11:30:00,388.8142902
 01/09  11:45:00,0
 01/09  12:00:00,456.3167706
 01/09  12:15:00,1861.268406
 01/09  12:30:00,1855.868208
 01/09  12:45:00,886.5325827
 01/09  13:00:00,0
 01/09  13:15:00,0
 01/09  13:30:00,1304.147931
 01/09  13:45:00,1871.168771
 01/09  14:00:00,1597.558714
